Date,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
2025-03-17,3497.699951171875,3530.449951171875,3477.35009765625,3489.0,2690906.0,TCS,,,,,,,,,,,,,,,
2025-03-18,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0.0,TCS,,,,,,,,,,,,,,,
2025-03-19,3497.10009765625,3547.0,3462.75,3547.0,3051244.0,TCS,,,,,,,,,,,,,,,
2025-03-20,3563.14990234375,3578.949951171875,3512.0,3512.0,2845192.0,TCS,,,,,,,,,,,,,,,
2025-03-21,3578.10009765625,3616.25,3465.0,3475.0,4161925.0,TCS,,,,,,,,,,,,,,,
2025-03-24,3628.949951171875,3649.75,3566.60009765625,3600.0,1834751.0,TCS,,,,,,,,,,,,,,,
2025-03-25,3657.75,3710.0,3638.0,3645.0,3135390.0,TCS,,,,,,,,,,,,,,,
2025-03-26,3635.800048828125,3680.5,3625.85009765625,3647.75,1734499.0,TCS,,,,,,,,,,,,,,,
2025-03-27,3651.199951171875,3663.0,3610.5,3614.85009765625,2528474.0,TCS,,,,,,,,,,,,,,,
2025-03-28,3606.14990234375,3660.949951171875,3591.89990234375,3651.0,2051919.0,TCS,,,,,,,,,,,,,,,
2025-04-01,3550.800048828125,3584.0,3525.0,3572.699951171875,2618493.0,TCS,,,,,,,,,,,,,,,
2025-04-02,3543.949951171875,3564.10009765625,3530.050048828125,3544.0,1764313.0,TCS,,,,,,,,,,,,,,,
2025-04-03,3403.14990234375,3502.0,3396.14990234375,3491.0,4537821.0,TCS,,,,,,,,,,,,,,,
2025-04-04,3299.39990234375,3399.64990234375,3295.5,3362.60009765625,5317367.0,TCS,,,,,,,,,,,,,,,
2025-04-07,3274.050048828125,3291.39990234375,3056.050048828125,3100.0,6623955.0,TCS,,,,,,,,,,,,,,,
2025-04-08,3292.949951171875,3349.0,3255.300048828125,3302.050048828125,5557558.0,TCS,,,,,,,,,,,,,,,
2025-04-09,3246.60009765625,3270.0,3212.050048828125,3260.550048828125,2990265.0,TCS,,,,,,,,,,,,,,,
2025-04-11,3231.5,3298.949951171875,3206.0,3289.550048828125,7108961.0,TCS,,,,,,,,,,,,,,,
2025-04-15,3248.199951171875,3314.39990234375,3238.60009765625,3314.39990234375,3511557.0,TCS,,,,,,,,,,,,,,,
2025-03-17,,,,,,Infosys,1590.050048828125,1594.0,1545.1500244140625,1545.1500244140625,7526032.0,,,,,,,,,,
2025-03-18,,,,,,Infosys,1590.050048828125,1590.050048828125,1590.050048828125,1590.050048828125,0.0,,,,,,,,,,
2025-03-19,,,,,,Infosys,1586.550048828125,1603.0,1572.800048828125,1603.0,7387068.0,,,,,,,,,,
2025-03-20,,,,,,Infosys,1615.550048828125,1631.9000244140625,1592.0,1592.0,7186750.0,,,,,,,,,,
2025-03-21,,,,,,Infosys,1592.550048828125,1603.9000244140625,1563.6500244140625,1577.949951171875,10074677.0,,,,,,,,,,
2025-03-24,,,,,,Infosys,1592.75,1607.0999755859375,1572.699951171875,1597.949951171875,8857726.0,,,,,,,,,,
2025-03-25,,,,,,Infosys,1628.449951171875,1636.1500244140625,1605.0,1605.0,9890140.0,,,,,,,,,,
2025-03-26,,,,,,Infosys,1599.449951171875,1637.75,1595.0,1626.0,6651302.0,,,,,,,,,,
2025-03-27,,,,,,Infosys,1603.550048828125,1619.949951171875,1586.0,1595.550048828125,9426573.0,,,,,,,,,,
2025-03-28,,,,,,Infosys,1570.6500244140625,1598.449951171875,1560.0,1590.0,6799047.0,,,,,,,,,,
2025-04-01,,,,,,Infosys,1526.5,1547.4000244140625,1517.8499755859375,1539.25,12680733.0,,,,,,,,,,
2025-04-02,,,,,,Infosys,1550.1500244140625,1555.6500244140625,1535.199951171875,1535.199951171875,6193478.0,,,,,,,,,,
2025-04-03,,,,,,Infosys,1496.5,1534.6500244140625,1485.050048828125,1534.6500244140625,10459504.0,,,,,,,,,,
2025-04-04,,,,,,Infosys,1451.6500244140625,1472.0,1448.0,1460.5,9590254.0,,,,,,,,,,
2025-04-07,,,,,,Infosys,1396.75,1405.9000244140625,1307.0,1352.0,21715252.0,,,,,,,,,,
2025-04-08,,,,,,Infosys,1428.800048828125,1456.5,1415.0,1431.0,12805001.0,,,,,,,,,,
2025-04-09,,,,,,Infosys,1403.699951171875,1409.449951171875,1381.9000244140625,1405.050048828125,8546854.0,,,,,,,,,,
